instance,makespan
ta01,963
ta02,942
ta03,921
ta04,911
ta05,940
ta06,886
ta07,935
ta08,963
ta09,982
ta10,896
ta11,949
ta12,1012
ta13,951
ta14,990
ta15,920
ta16,974
ta17,981
ta18,952
ta19,946
ta20,948
ta21,1217
ta22,1249
ta23,1166
ta24,1216
ta25,1217
ta26,1268
ta27,1331
ta28,1276
ta29,1236
ta30,1212
ta31,1099
ta32,1104
ta33,1141
ta34,1107
ta35,1092
ta36,1129
ta37,1081
ta38,1027
ta39,1049
ta40,1006
ta41,1373
ta42,1328
ta43,1316
ta44,1370
ta45,1400
ta46,1382
ta47,1362
ta48,1312
ta49,1339
ta50,1382
ta51,1308
ta52,1333
ta53,1295
ta54,1262
ta55,1302
ta56,1280
ta57,1321
ta58,1333
ta59,1285
ta60,1334
ta61,1607
ta62,1634
ta63,1477
ta64,1517
ta65,1548
ta66,1595
ta67,1576
ta68,1573
ta69,1642
ta70,1581
ta71,2254
ta72,2150
ta73,2252
ta74,2181
ta75,2174
ta76,2199
ta77,2171
ta78,2164
ta79,2189
ta80,2109
